onset	duration	nwb_table	Run	TrialNumber	finger	finger_pred	cue_location
576.2366236666667	149.08483333333334	epochs	0				
576.2366236666667	3.0	trials	0	1.0	T	T	3.0
579.325457	3.0	trials	0	2.0	X	X	1.0
582.405657	3.0	trials	0	3.0	P	P	4.0
585.615657	3.0	trials	0	4.0	M	M	10.0
588.7058236666667	3.0	trials	0	5.0	R	P	8.0
591.8058903333333	3.0	trials	0	6.0	I	I	6.0
594.9348903333333	3.0	trials	0	7.0	X	I	11.0
598.0750903333334	3.0	trials	0	8.0	R	R	2.0
601.1650236666667	3.0	trials	0	9.0	T	T	9.0
604.265857	3.0	trials	0	10.0	I	I	5.0
607.3853236666666	3.0	trials	0	11.0	M	M	12.0
610.515457	3.0	trials	0	12.0	P	P	7.0
613.644457	3.0	trials	0	13.0	I	T	1.0
616.754457	3.0	trials	0	14.0	X	X	3.0
619.854657	3.0	trials	0	15.0	T	T	10.0
622.9446236666666	3.0	trials	0	16.0	P	P	12.0
626.0446236666667	3.0	trials	0	17.0	M	M	5.0
629.134857	3.0	trials	0	18.0	R	R	11.0
632.2238903333333	3.0	trials	0	19.0	T	T	6.0
635.3240903333333	3.0	trials	0	20.0	X	X	7.0
638.4240236666667	3.0	trials	0	21.0	M	M	2.0
641.5140903333333	3.0	trials	0	22.0	I	I	4.0
644.6143236666667	3.0	trials	0	23.0	R	R	9.0
647.723457	3.0	trials	0	24.0	P	P	8.0
650.833457	3.0	trials	0	25.0	P	P	6.0
653.9634570000001	3.0	trials	0	26.0	X	T	9.0
657.093657	3.0	trials	0	27.0	T	X	1.0
660.173657	3.0	trials	0	28.0	I	I	5.0
663.313657	3.0	trials	0	29.0	R	R	11.0
666.4028903333333	3.0	trials	0	30.0	M	M	7.0
669.532857	3.0	trials	0	31.0	M	M	2.0
672.623057	3.0	trials	0	32.0	X	I	12.0
675.7230903333334	3.0	trials	0	33.0	I	I	10.0
678.8232903333334	3.0	trials	0	34.0	P	P	8.0
681.9332903333334	3.0	trials	0	35.0	T	X	4.0
685.032457	3.0	trials	0	36.0	R	R	3.0
688.152457	3.0	trials	0	37.0	R	R	8.0
691.272457	3.0	trials	0	38.0	I	X	1.0
694.372657	3.0	trials	0	39.0	T	T	2.0
697.482657	3.0	trials	0	40.0	M	M	11.0
700.571657	3.0	trials	0	41.0	P	P	12.0
703.661857	3.0	trials	0	42.0	X	X	3.0
706.7618903333333	3.0	trials	0	43.0	X	X	5.0
709.8520903333333	3.0	trials	0	44.0	R	R	9.0
712.9820569999999	3.0	trials	0	45.0	M	M	7.0
716.0722903333333	3.0	trials	0	46.0	I	X	6.0
719.171257	3.0	trials	0	47.0	P	P	4.0
722.321457	3.0	trials	0	48.0	T	T	10.0
777.9965846666666	149.14583333333326	epochs	1				
777.9965846666666	3.0	trials	1	1.0	M	I	7.0
781.126618	3.0	trials	1	2.0	X	M	6.0
784.2166179999999	3.0	trials	1	3.0	I	I	4.0
787.335818	3.0	trials	1	4.0	T	T	8.0
790.4258179999999	3.0	trials	1	5.0	R	R	2.0
793.5159846666667	3.0	trials	1	6.0	P	P	1.0
796.6359846666667	3.0	trials	1	7.0	X	T	5.0
799.7760513333333	3.0	trials	1	8.0	T	T	12.0
802.8762513333334	3.0	trials	1	9.0	R	R	9.0
805.985418	3.0	trials	1	10.0	M	M	3.0
809.105418	3.0	trials	1	11.0	I	I	11.0
812.225418	3.0	trials	1	12.0	P	P	10.0
815.355418	3.0	trials	1	13.0	I	I	4.0
818.4755846666667	3.0	trials	1	14.0	X	X	12.0
821.5755846666666	3.0	trials	1	15.0	M	M	3.0
824.654618	3.0	trials	1	16.0	P	P	10.0
827.7448513333333	3.0	trials	1	17.0	R	R	11.0
830.8750513333333	3.0	trials	1	18.0	T	T	6.0
833.9950513333333	3.0	trials	1	19.0	M	X	7.0
837.1250513333333	3.0	trials	1	20.0	P	P	8.0
840.2242513333333	3.0	trials	1	21.0	I	I	5.0
843.3642846666667	3.0	trials	1	22.0	X	R	9.0
846.454418	3.0	trials	1	23.0	T	T	1.0
849.5644179999999	3.0	trials	1	24.0	R	X	2.0
852.6745513333333	3.0	trials	1	25.0	I	I	2.0
855.7646179999999	3.0	trials	1	26.0	T	T	10.0
858.843618	3.0	trials	1	27.0	X	T	7.0
861.9738179999999	3.0	trials	1	28.0	P	P	12.0
865.0738513333333	3.0	trials	1	29.0	M	M	6.0
868.1740179999999	3.0	trials	1	30.0	R	R	5.0
871.274018	3.0	trials	1	31.0	R	R	8.0
874.3740513333333	3.0	trials	1	32.0	I	I	1.0
877.4732513333333	3.0	trials	1	33.0	T	T	3.0
880.583218	3.0	trials	1	34.0	X	T	9.0
883.683418	3.0	trials	1	35.0	M	M	4.0
886.8434179999999	3.0	trials	1	36.0	P	P	11.0
889.983618	3.0	trials	1	37.0	I	I	10.0
893.0826179999999	3.0	trials	1	38.0	P	P	1.0
896.162618	3.0	trials	1	39.0	M	M	4.0
899.2628513333333	3.0	trials	1	40.0	T	T	12.0
902.3528513333333	3.0	trials	1	41.0	R	R	11.0
905.4428513333332	3.0	trials	1	42.0	X	X	6.0
908.5729846666666	3.0	trials	1	43.0	M	M	5.0
911.6922513333333	3.0	trials	1	44.0	P	P	9.0
914.822418	3.0	trials	1	45.0	I	I	8.0
917.9322846666666	3.0	trials	1	46.0	R	R	7.0
921.022418	3.0	trials	1	47.0	T	T	2.0
924.1424179999999	3.0	trials	1	48.0	X	X	3.0
963.405468	149.43579999999986	epochs	2				
963.405468	3.0	trials	2	1.0	M	R	7.0
966.5653013333333	3.0	trials	2	2.0	I	I	3.0
969.665468	3.0	trials	2	3.0	T	T	9.0
972.785468	3.0	trials	2	4.0	P	P	11.0
975.915668	3.0	trials	2	5.0	X	X	10.0
979.055668	3.0	trials	2	6.0	R	R	2.0
982.1848346666667	3.0	trials	2	7.0	P	P	8.0
985.2748346666666	3.0	trials	2	8.0	R	R	5.0
988.3749013333334	3.0	trials	2	9.0	T	T	1.0
991.475068	3.0	trials	2	10.0	X	R	6.0
994.5751013333334	3.0	trials	2	11.0	M	M	4.0
997.7041013333334	3.0	trials	2	12.0	I	I	12.0
1000.8343346666667	3.0	trials	2	13.0	P	P	3.0
1003.954468	3.0	trials	2	14.0	T	T	12.0
1007.074468	3.0	trials	2	15.0	I	I	1.0
1010.1946346666666	3.0	trials	2	16.0	R	R	9.0
